ID,ID_Moroso
129460,1
134018,1
86523,1
138466,1
143905,1
118893,1
124587,1
136337,1
16700,1
57857,1
15734,1
108865,1
70643,1
63937,1
45630,0
134,1
19051,1
70017,1
141425,1
54428,1
22909,1
50665,1
14452,1
25646,1
7670,1
58203,1
34957,1
12339,1
57387,1
135184,1
67705,1
88706,1
50761,1
128898,1
141806,1
26485,1
35726,1
7684,1
110249,1
93798,1
15352,1
124345,1
114161,1
134264,1
25722,1
80217,1
39434,1
148053,1
36794,1
36180,1
111180,1
109175,1
89108,1
102313,1
1237,1
115697,1
117088,1
32708,1
56470,1
32678,1
7520,1
19850,1
59381,1
72715,1
120597,1
64821,1
85756,1
87380,1
4468,1
117685,1
14303,1
137190,1
16530,1
87639,1
52576,1
51230,1
8197,1
8926,1
12082,1
36469,1
71537,1
143473,1
40512,1
142333,1
122859,1
123494,0
11783,1
93815,1
34965,1
28589,1
4382,1
103120,1
67853,1
1341,1
61792,1
133333,1
33457,1
84785,1
88130,1
44198,1
119157,1
24998,1
122763,1
121251,1
78085,1
5826,1
10776,1
149700,1
41971,1
45082,1
99466,1
105695,1
46531,1
92571,1
149280,1
9307,1
3832,1
136229,1
9749,1
22416,1
8923,1
122317,1
75316,1
90063,1
125217,1
7152,1
98829,1
7731,1
73791,1
77593,1
44064,1
97789,1
96776,1
65178,1
91449,1
99847,1
67431,1
37950,1
25116,1
125291,1
81884,1
54800,1
56112,1
101235,1
46574,1
40808,1
142283,1
51874,1
51128,1
114138,1
13547,1
6473,1
26439,1
117091,1
18597,1
94348,1
30020,1
63311,1
29567,1
137357,1
116355,1
16821,1
145830,1
94237,1
138891,1
125287,1
43538,1
18098,1
11471,1
50859,1
105579,1
1026,1
48669,1
4369,1
8675,1
30495,1
46390,1
85342,1
145455,1
84151,1
99728,1
51431,1
40461,1
74752,1
146347,1
89627,1
119495,1
5535,1
6886,1
82573,1
5856,1
112565,1
141875,1
116917,1
82648,1
61263,1
149132,1
136782,1
73326,1
36736,1
135464,1
134733,1
109407,1
80387,1
69821,1
36225,1
106353,1
23899,1
98340,1
1459,1
124570,1
125522,1
65121,1
111475,1
134388,1
136272,1
63305,1
51318,1
124790,1
137374,1
61364,1
130363,0
115501,0
126422,1
74959,1
20728,1
98840,1
86036,1
126021,1
106773,1
114366,1
38396,1
64618,1
44641,1
15441,1
70716,1
149477,1
4458,1
85932,1
96810,1
35535,1
25662,1
81621,1
50408,1
91625,1
144293,1
102549,1
126255,1
121831,1
102237,1
87682,1
1128,1
113669,1
143810,1
2537,1
32514,1
27431,1
12324,1
4255,1
120638,1
140287,1
15575,1
102682,1
66848,1
42860,1
64695,1
78618,1
125868,1
95046,1
148199,1
48429,1
103265,1
88744,1
95916,1
85231,1
59848,1
102903,1
6418,1
56585,1
16433,1
143329,1
35325,1
129113,1
20640,1
81767,1
125251,1
111116,1
78367,1
91129,1
100868,1
142892,1
54362,1
90671,1
68108,1
24347,1
64400,1
11051,1
23652,1
35741,1
106355,1
43631,1
60105,1
4167,1
139748,1
108628,1
130842,1
73121,1
144847,1
98908,1
107258,1
7310,1
66363,1
105182,1
109290,1
30480,1
117321,1
101188,1
51893,1
72716,1
133102,1
25151,1
87813,1
75161,1
69389,1
99673,1
124140,1
78958,1
93773,1
48062,1
